"","Two_yr_Recidivism","Number_of_Priors","Age_Above_FourtyFive","Age_Below_TwentyFive","Female","Misdemeanor","ethnicity","probability","predicted"
"4","no",-0.684357758721968,"no","no","Male","yes","Other",0.315155748063539,0
"5","yes",2.26688170904505,"no","no","Male","no","Caucasian",0.885461578667908,1
"7","no",-0.684357758721968,"no","no","Female","yes","Caucasian",0.255267984633487,0
"11","no",-0.684357758721968,"no","no","Male","no","African_American",0.417390788113458,0
"14","no",-0.684357758721968,"no","no","Male","yes","Hispanic",0.320098194878879,0
"24","no",-0.684357758721968,"no","no","Male","yes","Other",0.315155748063539,0
"25","yes",1.00206479428776,"no","no","Male","no","African_American",0.744961833979367,1
"26","yes",0.369656336909111,"no","no","Male","no","African_American",0.632949155154948,1
"27","yes",-0.684357758721968,"no","no","Male","no","African_American",0.417390788113458,0
"36","no",-0.262752120469537,"no","yes","Female","no","African_American",0.5811012233709,1
"44","no",-0.684357758721968,"no","no","Male","no","African_American",0.417390788113458,0
"49","no",-0.684357758721968,"no","no","Male","yes","Hispanic",0.320098194878879,0
"52","no",0.369656336909111,"no","no","Male","no","African_American",0.632949155154948,1
"55","yes",-0.473554939595753,"no","yes","Male","no","African_American",0.638324627835667,1
"60","no",-0.684357758721968,"yes","no","Female","yes","African_American",0.146716494207271,0
"73","yes",-0.684357758721968,"yes","no","Male","no","Other",0.213017747377089,0
"80","yes",-0.473554939595753,"no","yes","Male","no","Other",0.590352754067308,1
"82","no",-0.684357758721968,"no","yes","Female","no","Caucasian",0.473814255584197,0
"85","no",-0.684357758721968,"no","no","Female","yes","Hispanic",0.236890859498369,0
"91","no",-0.684357758721968,"no","no","Male","yes","Caucasian",0.342037047492551,0
"93","no",-0.473554939595753,"no","no","Male","no","Caucasian",0.440631826735252,0
"94","yes",-0.0519493013433206,"no","yes","Male","no","African_American",0.714930699944806,1
"98","no",-0.0519493013433206,"no","no","Male","no","African_American",0.548233623544722,1
"104","no",-0.473554939595753,"no","no","Female","no","Other",0.314972403642531,0
"116","yes",-0.262752120469537,"no","no","Male","yes","Caucasian",0.424854525436745,0
"119","no",-0.473554939595753,"no","no","Male","yes","African_American",0.401847829438371,0
"125","yes",1.00206479428776,"no","no","Male","yes","African_American",0.696770283878438,1
"136","yes",-0.262752120469537,"no","no","Female","yes","African_American",0.345568513129703,0
"139","no",-0.473554939595753,"no","no","Male","no","African_American",0.460627424075695,0
"142","yes",0.580459156035327,"yes","no","Male","no","Caucasian",0.467327831638345,0
"145","no",-0.684357758721968,"no","yes","Male","no","Hispanic",0.552938609050802,1
"150","yes",0.580459156035327,"no","no","Male","yes","African_American",0.617892318378799,1
"152","no",-0.684357758721968,"yes","no","Male","no","Hispanic",0.216865637358218,0
